,tweets,date,user,location
129,i will stan treasure and yedam and mashiho no matter what man idc if they're not part of the group anymore i'll still stan them no shit,2022-11-11 11:15:53+00:00,l0v3lyREnjun,Teume Universe ✧ Multifandom !
130,they changed the fanchant. no more mashiho and yedam names🥺 i still wanna cry. https://t.co/ElfDhQnUvR,2022-11-11 11:12:38+00:00,jinietonight,+12!
131,First concert without mashiho and yedam,2022-11-11 11:11:58+00:00,LISeriousJen,
132,@ygtreasuremaker I MISS MASHIHO AND YEDAM,2022-11-11 11:11:17+00:00,yedeebon,
133,"want to sell
• ready ina
• freeong 🍊 blh keep
• inc packing aman , admin
• all good condi
• stlh co lgsng kirim

t.… https://t.co/qJtDqe6EYr",2022-11-11 11:03:57+00:00,jakeysimjh,
134,@rulesahi Imagine them being Yedam and mashiho,2022-11-11 11:03:41+00:00,prettyoshinori,☆ *.: She/her☆ *.: ｡.
135,wait what. yedam and mashiho LEF TTREASURE???? Why am i knowing this now. Oh my,2022-11-11 11:02:14+00:00,reshskz,
136,"want to sell
• ready ina
• freeong 🍊 blh keep event shopee ya
• all inc packing aman 
• all good condi
• stlh co lg… https://t.co/QrqtB5vx9I",2022-11-11 10:59:43+00:00,jakeysimjh,
137,"can choose members for applewood pob, all avail except mashiho and yedam",2022-11-11 10:59:19+00:00,strayckart,꒰˖♡ she / they ! ꒱ 
138,Eveyday without Mashiho and Yedam wow https://t.co/XN5k1sEfnz,2022-11-11 10:53:40+00:00,ganbarimashiho,mashiho 🍀
139,"i love you both, mashiho and yedam💙",2022-11-11 10:52:59+00:00,me_with12,"safest place, treasure"
140,I will never know the feeling of being able to wholeheartedly accept the reality that Yedam and Mashiho are no longer members of Treasure.,2022-11-11 10:45:07+00:00,from_thetoppp,she/her 🇵🇭 
141,"wts lfb ph tingi
TREASURE first step chapter 3
₱100 ea pc:
• Mashiho concept 3 / ktown pob
• doyoung first press

₱… https://t.co/36MbZdmRot",2022-11-11 10:43:48+00:00,kcloudph,"Taguig, Metro Manila, PH"
142,So someones questioning mashiho ans yedam's choice???😭,2022-11-11 10:43:40+00:00,harutowannabe_,svtrsr
143,"i’m really sorry and it’s sad that mashiho and yedam are no longer part of the group. but more than ever, i want to… https://t.co/6MnnRK8Giw",2022-11-11 10:41:33+00:00,peppermint_cola,
144,"For my dearly bias and chinggu, whenever you guys want to comeback, fully healed and ready, remember, we are still… https://t.co/ijlMYVEkaV",2022-11-11 10:36:41+00:00,hwahwarhwafhwa,"Hà Nội, Việt Nam"
145,"Whatever happens tomorrow we had today and I’ll always remember it. Some day we will meet again, wish all the twelv… https://t.co/8Aa0ueiuPy",2022-11-11 10:35:09+00:00,hwahwarhwafhwa,"Hà Nội, Việt Nam"
